x,y,std,con_95,con_95_plus,con_99,con_99_plus
0.000000000000000000e+00,7.560209038534334604e-03,1.562148103742429760e-03,2.495016252772088165e-04,7.809710663811543149e-03,3.294135266365089501e-04,7.889622565170843066e-03
2.000000000000000000e+01,6.528296047676500347e-02,3.075040704022593066e-02,4.911363087847855045e-03,7.019432356461285938e-02,6.484404394411468799e-03,7.176736487117647834e-02
4.000000000000000000e+01,6.701760123447551842e-02,2.672294792383955730e-02,4.268109357379804535e-03,7.128571059185531689e-02,5.635125438251790270e-03,7.265272667272730522e-02
6.000000000000000000e+01,7.707752044276371117e-02,2.851391798629312330e-02,4.554157741866827168e-03,8.163167818463053227e-02,6.012791142905433983e-03,8.309031158566915209e-02
8.000000000000000000e+01,7.360178232192993164e-02,1.902505455338624266e-02,3.038624840170781223e-03,7.664040716210071547e-02,4.011854125654829017e-03,7.761363644758476066e-02
1.000000000000000000e+02,8.733367254691463966e-02,2.552012766093313123e-02,4.075998500673866896e-03,9.140967104758850048e-02,5.381484145365011441e-03,9.271515669227965717e-02
1.200000000000000000e+02,9.587949248296874505e-02,2.759289977923444492e-02,4.407055467107781274e-03,1.002865479500765211e-01,5.818574054937403553e-03,1.016980665379061538e-01
1.400000000000000000e+02,1.034701569852503888e-01,2.609942365016901245e-02,4.168521924339432805e-03,1.076386789095898217e-01,5.503641535130688982e-03,1.089737985203810822e-01
1.600000000000000000e+02,1.092754502042934533e-01,2.519470450590781049e-02,4.024022887166326008e-03,1.132994730914597820e-01,5.312861465550430991e-03,1.145883116698438869e-01
1.800000000000000000e+02,1.006633278901700873e-01,1.587537990935494400e-02,2.535568221596927636e-03,1.031988961117670106e-01,3.347675466946157131e-03,1.040110033571162440e-01
2.000000000000000000e+02,1.119300956269363295e-01,2.342752791644649862e-02,3.741774725057921049e-03,1.156718703519942493e-01,4.940213141662755901e-03,1.168703087685990794e-01
2.200000000000000000e+02,1.105995867159459550e-01,2.062263877364771403e-02,3.293786216046432850e-03,1.138933729319923926e-01,4.348740142309968741e-03,1.149483268582559281e-01
2.400000000000000000e+02,1.262213341504722364e-01,2.341500418534222389e-02,3.739774472164122867e-03,1.299611086226363510e-01,4.937572235579763477e-03,1.311589063860519877e-01
2.600000000000000000e+02,1.338515926104087428e-01,2.563686139950686546e-02,4.094642864437492841e-03,1.379462354748462460e-01,5.406100039599953146e-03,1.392576926500087020e-01
2.800000000000000000e+02,1.369999786476036041e-01,2.454157949203402203e-02,3.919707712388520275e-03,1.409196863599921357e-01,5.175135590750690531e-03,1.421751142383542998e-01
3.000000000000000000e+02,1.443854183829449966e-01,2.507057407271816654e-02,4.004197145450170275e-03,1.483896155283951634e-01,5.286685814431335909e-03,1.496721041973763378e-01
3.200000000000000000e+02,1.288892695946352862e-01,1.524256580824299989e-02,2.434497045088430262e-03,1.313237666397237269e-01,3.214232597954928220e-03,1.321035021925902053e-01
3.400000000000000000e+02,1.504465294155207522e-01,2.555596171074880560e-02,4.081721807988875420e-03,1.545282512235096328e-01,5.389040548432794293e-03,1.558355699639535352e-01
3.600000000000000000e+02,1.492429668349879168e-01,2.619727338356351437e-02,4.184150191247277759e-03,1.534271170262351824e-01,5.524275318624522965e-03,1.547672421536124276e-01
3.800000000000000000e+02,1.541796606275942505e-01,2.719056201493953717e-02,4.342795282134609934e-03,1.585224559097288544e-01,5.733732226228641787e-03,1.599133928538228888e-01
4.000000000000000000e+02,1.651794657401450261e-01,2.716630260095061200e-02,4.338920641052878766e-03,1.695183863811978997e-01,5.728616591483714181e-03,1.709080823316287412e-01
4.200000000000000000e+02,1.601680558319989733e-01,2.448948329984015557e-02,3.911387064306571897e-03,1.640794428963055496e-01,5.164149954783267028e-03,1.653322057867822326e-01
4.400000000000000000e+02,1.719271267776365519e-01,2.916777277652387104e-02,4.658589474342788445e-03,1.765857162519793300e-01,6.150670907213363035e-03,1.780777976848499089e-01
4.600000000000000000e+02,1.608832189692305237e-01,1.891970629889575678e-02,3.021798931889406372e-03,1.639050179011199426e-01,3.989639112908231061e-03,1.648728580821387513e-01
