x,y,std,con_95,con_95_plus,con_99,con_99_plus
0.000000000000000000e+00,1.035226461501767906e-02,8.010871302234467625e-03,1.279472416863493408e-03,1.163173703188117268e-02,1.689269641449671561e-03,1.204153425646735040e-02
2.000000000000000000e+01,4.570388087893945128e-02,2.645198383380996734e-02,4.224831782934602639e-03,4.992871266187405566e-02,5.577986658468578329e-03,5.128186753740802961e-02
4.000000000000000000e+01,6.376286670444654414e-02,1.815790349457511998e-02,2.900126065300520032e-03,6.666299276974706201e-02,3.828996118961851530e-03,6.759186282340839957e-02
6.000000000000000000e+01,7.098171147578336004e-02,1.586331936652943947e-02,2.533641947750370042e-03,7.351535342353372748e-02,3.345132234370588702e-03,7.432684371015395308e-02
8.000000000000000000e+01,7.195746447503953425e-02,1.173030193041308539e-02,1.873528758008856376e-03,7.383099323304839756e-02,2.473593968555971596e-03,7.443105844359550194e-02
1.000000000000000000e+02,8.601197709220570475e-02,1.145484266703804613e-02,1.829533227914696171e-03,8.784151032012040006e-02,2.415507281912316305e-03,8.842748437411801499e-02
1.200000000000000000e+02,9.136674538641781362e-02,1.095457854581374964e-02,1.749632537951744445e-03,9.311637792436955330e-02,2.310015511940305150e-03,9.367676089835812181e-02
1.400000000000000000e+02,9.552664779029883257e-02,1.192267287749840428e-02,1.904253670607679045e-03,9.743090146090650772e-02,2.514159643442985276e-03,9.804080743374181395e-02
1.600000000000000000e+02,9.839454092472404989e-02,1.242681539989384971e-02,1.984773807211675980e-03,1.003793147319357315e-01,2.620469260202019056e-03,1.010150101849260629e-01
1.800000000000000000e+02,8.708811176384424757e-02,1.405614761335752597e-02,2.245005877654804305e-03,8.933311764149905188e-02,2.964050044388685627e-03,9.005216180823293060e-02
2.000000000000000000e+02,9.730653397061607424e-02,1.771432429861061197e-02,2.829278922147343903e-03,1.001358128927634233e-01,3.735457620956960084e-03,1.010419915915730382e-01
2.200000000000000000e+02,1.028599061265394327e-01,1.660582886560558330e-02,2.652233345300604884e-03,1.055121394718400440e-01,3.501706807591790146e-03,1.063616129341312250e-01
2.400000000000000000e+02,1.140562397028718616e-01,1.370039634524337392e-02,2.188186348586935743e-03,1.162444260514587935e-01,2.889032010212449087e-03,1.169452717130843172e-01
2.600000000000000000e+02,1.185906847769563899e-01,1.598071467518258348e-02,2.552391975509395259e-03,1.211430767524657864e-01,3.369887635309442870e-03,1.219605724122658358e-01
2.800000000000000000e+02,1.166024801212471734e-01,1.834382632879327443e-02,2.929821104588051315e-03,1.195323012258352191e-01,3.868202066435929946e-03,1.204706821876831008e-01
3.000000000000000000e+02,1.241365017538720861e-01,1.915197244351034625e-02,3.058895786175743706e-03,1.271953975400478276e-01,4.038617573806054309e-03,1.281751193276781386e-01
3.200000000000000000e+02,1.139990337580055330e-01,1.893506577643982655e-02,3.024252101727447489e-03,1.170232858597329839e-01,3.992877998935083668e-03,1.179919117569406123e-01
3.400000000000000000e+02,1.282607854960800819e-01,2.010503965204814975e-02,3.211116831644427339e-03,1.314719023277245158e-01,4.239592903567627330e-03,1.325003783996477058e-01
3.600000000000000000e+02,1.383313332478721402e-01,1.771838561218874036e-02,2.829927583011237688e-03,1.411612608308833727e-01,3.736314038876197962e-03,1.420676472867483386e-01
3.800000000000000000e+02,1.420314236507787264e-01,1.824382847532641377e-02,2.913849746363794593e-03,1.449452733971425267e-01,3.847115304247579297e-03,1.458785389550263101e-01
4.000000000000000000e+02,1.466479002461804904e-01,1.852247963757965715e-02,2.958355077004985907e-03,1.496062553231854719e-01,3.905875073464914332e-03,1.505537753196453943e-01
4.200000000000000000e+02,1.375887246391215846e-01,2.104661834914092408e-02,3.361502966408624719e-03,1.409502276055302206e-01,4.438145626239741598e-03,1.420268702653613158e-01
4.400000000000000000e+02,1.493679191675278961e-01,2.156577012243184044e-02,3.444420335697308613e-03,1.528123395032252030e-01,4.547620275979837555e-03,1.539155394435077207e-01
4.600000000000000000e+02,1.427200628178460218e-01,2.168309700863094852e-02,3.463159435226515794e-03,1.461832222530725367e-01,4.572361248528815196e-03,1.472924240663748274e-01
4.800000000000000000e+02,1.586062714167229548e-01,2.073332254634679961e-02,3.311464297346199386e-03,1.619177357140691442e-01,4.372080267243635618e-03,1.629783516839665991e-01
5.000000000000000000e+02,1.662039759193922051e-01,1.998418299192028860e-02,3.191813967175151541e-03,1.693957898865673661e-01,4.214107600007195760e-03,1.704180835193994104e-01
5.200000000000000000e+02,1.674247461479979604e-01,2.030434396061286256e-02,3.242949120012294552e-03,1.706676952680102610e-01,4.281620631284907032e-03,1.717063667792828596e-01
5.400000000000000000e+02,1.725204658101905375e-01,1.967838773083655304e-02,3.142973262212749204e-03,1.756634390724032824e-01,4.149623896355154017e-03,1.766700897065456854e-01
5.600000000000000000e+02,1.605167608563002057e-01,2.261163783867858185e-02,3.611463200841387011e-03,1.641282240571415862e-01,4.768164648167557036e-03,1.652849255044677723e-01
5.800000000000000000e+02,1.742161601394801862e-01,2.076228981011917635e-02,3.316090862121797399e-03,1.775322510016019706e-01,4.378188656386386955e-03,1.785943487958665810e-01
6.000000000000000000e+02,1.728237690766910584e-01,2.249990923498922796e-02,3.593618242259250233e-03,1.764173873189503194e-01,4.744604197478336990e-03,1.775683732741693832e-01
6.200000000000000000e+02,1.846191550230051048e-01,2.106358406715605133e-02,3.364212680173041259e-03,1.879833677031781392e-01,4.441723223645450969e-03,1.890608782466505489e-01
6.400000000000000000e+02,1.911320887602769025e-01,1.997310767144803989e-02,3.190045050097653316e-03,1.943221338103745532e-01,4.211772123385835315e-03,1.953438608836627344e-01
6.600000000000000000e+02,1.915800304381878316e-01,2.057741407806893547e-02,3.286563062862340057e-03,1.948665935010501782e-01,4.339203513595971118e-03,1.959192339517837889e-01
6.800000000000000000e+02,1.960497120177590868e-01,2.051985426561131476e-02,3.277369781684695300e-03,1.993270817994437782e-01,4.327065752285902574e-03,2.003767777700449781e-01
7.000000000000000000e+02,1.836736238041481450e-01,2.388453977717361690e-02,3.814767293271655816e-03,1.874883910974197987e-01,5.036584214543853369e-03,1.887102080186920106e-01
7.200000000000000000e+02,1.970826715424463249e-01,2.127570753445646307e-02,3.398092406252852665e-03,2.004807639486991810e-01,4.486454154905035810e-03,2.015691256973513590e-01
7.400000000000000000e+02,2.016700063045922808e-01,2.267914174015461110e-02,3.622244722190401823e-03,2.052922510267826961e-01,4.782399340892063387e-03,2.064524056454843381e-01
7.600000000000000000e+02,2.097178090895925329e-01,2.151664390217967321e-02,3.436574042655517539e-03,2.131543831322480487e-01,4.537260924376223560e-03,2.142550700139687625e-01
7.800000000000000000e+02,2.145458440501968600e-01,2.057110666829676388e-02,3.285555662228766081e-03,2.178313997124256274e-01,4.337873456546952923e-03,2.188837175067438190e-01
8.000000000000000000e+02,2.136963776179722496e-01,2.238450378254177101e-02,3.575186028384963379e-03,2.172715636463572186e-01,4.720268401792432345e-03,2.184166460197646820e-01
8.200000000000000000e+02,2.174299272236885905e-01,2.042687837728095895e-02,3.262519950740727214e-03,2.206924471744293181e-01,4.307459726971343827e-03,2.217373869506599204e-01
8.400000000000000000e+02,2.079433199840706736e-01,2.652100743777857303e-02,4.235856026622766141e-03,2.121791760106934432e-01,5.592541814122507608e-03,2.135358617981931717e-01
8.600000000000000000e+02,2.206496961124531642e-01,2.190145738502672496e-02,3.498035301782553841e-03,2.241477314142357180e-01,4.618407370208240520e-03,2.252681034826614082e-01
8.800000000000000000e+02,2.274972361984191060e-01,2.155980235825277758e-02,3.443467182242536569e-03,2.309407033806616383e-01,4.546361840726707501e-03,2.320435980391458153e-01
9.000000000000000000e+02,2.309296432060080617e-01,2.185942934445032557e-02,3.491322708779427773e-03,2.344209659147874769e-01,4.609544827002045111e-03,2.355391880330101051e-01
9.200000000000000000e+02,2.360048534034134560e-01,2.115824487465466780e-02,3.379331621369703262e-03,2.393841850247831471e-01,4.461684551484774129e-03,2.404665379548982240e-01
9.400000000000000000e+02,2.322648267273779155e-01,2.442490646438953347e-02,3.901073045193026098e-03,2.361658997725709364e-01,5.150532498759825308e-03,2.374153592261377399e-01
9.600000000000000000e+02,2.382467110435683988e-01,2.169167249128316211e-02,3.464529085680360422e-03,2.417112401292487722e-01,4.574169578978602366e-03,2.428208806225470029e-01
9.800000000000000000e+02,2.281297513029792168e-01,2.546246193566115840e-02,4.066788303418128296e-03,2.321965396063973563e-01,5.369324049992246425e-03,2.334990753529714580e-01
1.000000000000000000e+03,2.399531996675900170e-01,2.169079604323798441e-02,3.464389102018620124e-03,2.434175887696086449e-01,4.573984760496421602e-03,2.445271844280864360e-01
1.020000000000000000e+03,2.501252072972136586e-01,2.150899632334139777e-02,3.435352594224978275e-03,2.535605598914386638e-01,4.535648262997117770e-03,2.546608555602107860e-01
1.040000000000000000e+03,2.507048308268770009e-01,2.141095077925877707e-02,3.419693053019379810e-03,2.541245238798963690e-01,4.514973188482815543e-03,2.552198040153598191e-01
1.060000000000000000e+03,2.531237061341087280e-01,2.158711890257313665e-02,3.447830099041884321e-03,2.565715362331505989e-01,4.552122139112330622e-03,2.576758282732210525e-01
1.080000000000000000e+03,2.488202469108940773e-01,2.457818310314124205e-02,3.925553931732503679e-03,2.527458008426266001e-01,5.182854272861287144e-03,2.540031011837553532e-01
1.100000000000000000e+03,2.557444227012721227e-01,2.210383381581854101e-02,3.530358260328796648e-03,2.592747809616008925e-01,4.661082922939464857e-03,2.604055056242116084e-01
1.120000000000000000e+03,2.491915521103066355e-01,2.693313425736379094e-02,4.301679690243711239e-03,2.534932318005503338e-01,5.679447881950401393e-03,2.548709999922570413e-01
1.140000000000000000e+03,2.602281362398878306e-01,2.036293118895724646e-02,3.252306496984037638e-03,2.634804427368718782e-01,4.293975045990240484e-03,2.645221112858780477e-01
1.160000000000000000e+03,2.667615800708919571e-01,2.036788426932992571e-02,3.253097588174527245e-03,2.700146776590665043e-01,4.295019512689247573e-03,2.710565995835811925e-01
1.180000000000000000e+03,2.678150480443781123e-01,2.034916152488657620e-02,3.250107247401413067e-03,2.710651552917795470e-01,4.291071407345956913e-03,2.721061194517240822e-01
