x,y,std,con_95,con_95_plus,con_99,con_99_plus
0.000000000000000000e+00,9.589147995915505568e-03,7.750812978292746444e-03,1.237936678776380183e-03,1.082708467469188640e-02,1.634430583990528763e-03,1.122357857990603433e-02
2.000000000000000000e+01,8.366326228171200308e-02,8.440757814250405069e-03,1.348132605469023375e-03,8.501139488718102710e-02,1.779920733774005039e-03,8.544318301548600725e-02
4.000000000000000000e+01,8.427958354934469987e-02,1.200232023213118789e-02,1.916974707993508329e-03,8.619655825733821275e-02,2.530955052222727975e-03,8.681053860156742741e-02
6.000000000000000000e+01,9.123937959794874153e-02,1.496554003687395468e-02,2.390251317020353899e-03,9.362963091496909196e-02,3.155815578405210629e-03,9.439519517635394652e-02
8.000000000000000000e+01,8.816748470455021414e-02,1.250430017537691556e-02,1.997149443920480816e-03,9.016463414847070146e-02,2.636808641270539742e-03,9.080429334582075518e-02
1.000000000000000000e+02,1.009256702835683722e-01,1.477202247053882589e-02,2.359343269822630242e-03,1.032850135533910085e-01,3.115008113453679884e-03,1.040406783970220517e-01
1.200000000000000000e+02,1.091062363188762124e-01,1.558636121374367030e-02,2.489407019520277226e-03,1.115956433383964858e-01,3.286729473696793549e-03,1.123929657925730047e-01
1.400000000000000000e+02,1.156472345548016645e-01,1.483184325531085833e-02,2.368897666739429309e-03,1.180161322215410868e-01,3.127622650852988732e-03,1.187748572056546575e-01
1.600000000000000000e+02,1.213711488072748285e-01,1.517827318712491186e-02,2.424228419838452258e-03,1.237953772271132846e-01,3.200675074818372899e-03,1.245718238820932022e-01
1.800000000000000000e+02,1.109066301013355155e-01,1.469093490480037623e-02,2.346392206224341085e-03,1.132530223075598613e-01,3.097909004264045099e-03,1.140045391055995588e-01
2.000000000000000000e+02,1.187569082460620123e-01,1.946486635541757812e-02,3.108870266427118337e-03,1.218657785124891285e-01,4.104598185207448437e-03,1.228615064312694599e-01
2.200000000000000000e+02,1.229923667942548760e-01,1.643960740560297326e-02,2.625684950607908453e-03,1.256180517448627909e-01,3.466655331223479977e-03,1.264590221254783542e-01
