x,y,std,con_95,con_95_plus,con_99,con_99_plus
0.000000000000000000e+00,1.651899766225319310e-01,6.698318645996496901e-02,1.069835430326339897e-02,1.758883309257953387e-01,1.412488843040330538e-02,1.793148650529352295e-01
2.000000000000000000e+01,3.048951441978479115e-01,1.032967992901921706e-02,1.649825598936042418e-03,3.065449697967839726e-01,2.178241798132114250e-03,3.070733859959800527e-01
4.000000000000000000e+01,3.132180939247081741e-01,9.071815136910750532e-03,1.448923194574908233e-03,3.146670171192830767e-01,1.912993147119016173e-03,3.151310870718271873e-01
6.000000000000000000e+01,3.200541312818403483e-01,7.124439089903875783e-03,1.137894113791775887e-03,3.211920253956321303e-01,1.502345776491878157e-03,3.215564770583322352e-01
8.000000000000000000e+01,3.272043824582904770e-01,6.848470997535608534e-03,1.093817315051900116e-03,3.282981997733424029e-01,1.444151791985291439e-03,3.286485342502757923e-01
1.000000000000000000e+02,3.249651596143648402e-01,7.989666176656922900e-03,1.276085597596402204e-03,3.262412452119612394e-01,1.684798071063653381e-03,3.266499576854284825e-01
1.200000000000000000e+02,3.344588459699184835e-01,7.062497267382707167e-03,1.128000951066270106e-03,3.355868469209847271e-01,1.489283971305732125e-03,3.359481299412241939e-01
1.400000000000000000e+02,3.383167277682911367e-01,6.821633845326254865e-03,1.089530965327437789e-03,3.394062587336185710e-01,1.438492584044005415e-03,3.397552203523351300e-01
1.600000000000000000e+02,3.381558834732352747e-01,7.524255992857335068e-03,1.201751674327301064e-03,3.393576351475625641e-01,1.586656025753942906e-03,3.397425394989891934e-01
1.800000000000000000e+02,3.449380413278356761e-01,7.707573099287432991e-03,1.231030534562031938e-03,3.461690718623977037e-01,1.625312497811406314e-03,3.465633538256470692e-01
2.000000000000000000e+02,3.467800719784451813e-01,6.681645430496186387e-03,1.067172434189188638e-03,3.478472444126343710e-01,1.408972926268310406e-03,3.481890449047134739e-01
2.200000000000000000e+02,3.515597519936499715e-01,6.870084646104453185e-03,1.097269382389931460e-03,3.526570213760398809e-01,1.448709508492124556e-03,3.530084615021421013e-01
2.400000000000000000e+02,3.530926777944936590e-01,7.041001838687376349e-03,1.124567765453032267e-03,3.542172455599467140e-01,1.484751184077601335e-03,3.545774289785712519e-01
2.600000000000000000e+02,3.559241507734571264e-01,7.626036049068558344e-03,1.218007680646208350e-03,3.571421584541033534e-01,1.608118604863746073e-03,3.575322693783208883e-01
2.800000000000000000e+02,3.596542208612739100e-01,6.825285873382584516e-03,1.090114256331299169e-03,3.607443351176052304e-01,1.439262695045982971e-03,3.610934835563198719e-01
3.000000000000000000e+02,3.618199029913196085e-01,7.315890698195541553e-03,1.168472192346728432e-03,3.629883751836663341e-01,1.542717588432436331e-03,3.633626205797520492e-01
3.200000000000000000e+02,3.629815903576937841e-01,6.803074794155272893e-03,1.086566769154443876e-03,3.640681571268482020e-01,1.434578997052724176e-03,3.644161693547465219e-01
3.400000000000000000e+02,3.670081800067579447e-01,7.439781533159431012e-03,1.188259666150516579e-03,3.681964396729084377e-01,1.568842714958932315e-03,3.685770227217168848e-01
3.600000000000000000e+02,3.670128978692092092e-01,7.647109462251139300e-03,1.221373463203313803e-03,3.682342713324125438e-01,1.612562400774077229e-03,3.686254602699832739e-01
3.800000000000000000e+02,3.707921253396319061e-01,7.718522985066898073e-03,1.232779417585371049e-03,3.720249047572172785e-01,1.627621523749625152e-03,3.724197468633815289e-01
4.000000000000000000e+02,3.723545471182116984e-01,7.427746290304338556e-03,1.186337433139601858e-03,3.735408845513513154e-01,1.566304817442477123e-03,3.739208519356541638e-01
4.200000000000000000e+02,3.690845929570012451e-01,7.474558107622361613e-03,1.193814076663379060e-03,3.702784070336646027e-01,1.576176125927281719e-03,3.706607690829285540e-01
4.400000000000000000e+02,3.765525957206626861e-01,9.481954586125912465e-03,1.514429441341350697e-03,3.780670251620040223e-01,1.999480133887460240e-03,3.785520758545501407e-01
4.600000000000000000e+02,3.799495758948387980e-01,8.556150698009039671e-03,1.366562811909904310e-03,3.813161387067486863e-01,1.804253879073495874e-03,3.817538297739123121e-01
4.800000000000000000e+02,3.823767766937032908e-01,7.054674257789900899e-03,1.126751483360046704e-03,3.835035281770633464e-01,1.487634316466537486e-03,3.838644110101698259e-01
5.000000000000000000e+02,3.836399258731247319e-01,6.711206571788573896e-03,1.071893851306957631e-03,3.847118197244316917e-01,1.415206547639547008e-03,3.850551324207642789e-01
5.200000000000000000e+02,3.855554943347906383e-01,7.421940754842746603e-03,1.185410190370621416e-03,3.867409045251612443e-01,1.565080591707519730e-03,3.871205749264981510e-01
5.400000000000000000e+02,3.884294389130233394e-01,6.391363261582207016e-03,1.020809433933629606e-03,3.894502483469569620e-01,1.347760501689254306e-03,3.897771994147126162e-01
5.600000000000000000e+02,3.908700083757375987e-01,7.120293526511569347e-03,1.137231996799416061e-03,3.920072403725370358e-01,1.501471592633328795e-03,3.923714799683709065e-01
5.800000000000000000e+02,3.904806820603159978e-01,6.959101132433549892e-03,1.111486829482411648e-03,3.915921688897984199e-01,1.467480606200599873e-03,3.919481626665166085e-01
6.000000000000000000e+02,3.959816007258056270e-01,7.694002430712734708e-03,1.228863067945150985e-03,3.972104637937508009e-01,1.622450821774865928e-03,3.976040515475804948e-01
6.200000000000000000e+02,3.947176658487939194e-01,7.464244845163880808e-03,1.192166873213759259e-03,3.959098327220076929e-01,1.574001346116432175e-03,3.962916671949103242e-01
6.400000000000000000e+02,3.978177316777117833e-01,7.184886730956538924e-03,1.147548630319806303e-03,3.989652803080315779e-01,1.515092500421774332e-03,3.993328241781335386e-01
6.600000000000000000e+02,3.991500973314434098e-01,6.836435887152068902e-03,1.091895103198945978e-03,4.002419924346423685e-01,1.441613922403397379e-03,4.005917112538467939e-01
6.800000000000000000e+02,3.958396332991587774e-01,6.779723444570280415e-03,1.082837161404759906e-03,3.969224704605635590e-01,1.429654847799471072e-03,3.972692881469582216e-01
7.000000000000000000e+02,4.026882538160720393e-01,7.495504257318629134e-03,1.197159533076889645e-03,4.038854133491489029e-01,1.580593085512850852e-03,4.042688469015848773e-01
7.200000000000000000e+02,4.058677612187026607e-01,7.998428022745480981e-03,1.277485013461189057e-03,4.071452462321638599e-01,1.686645700371632289e-03,4.075544069190742968e-01
7.400000000000000000e+02,4.060462995783075124e-01,7.017901843424310428e-03,1.120878303264253185e-03,4.071671778815717513e-01,1.479880038450203349e-03,4.075261796167576889e-01
7.600000000000000000e+02,4.079724865687358037e-01,6.329152387430767371e-03,1.010873299086034174e-03,4.089833598678218607e-01,1.334641961007823141e-03,4.093071285297436024e-01
7.800000000000000000e+02,4.092104690415518387e-01,7.032029509849059210e-03,1.123134731912666349e-03,4.103336037734645059e-01,1.482859169819995522e-03,4.106933282113718331e-01
8.000000000000000000e+02,4.127435167501499191e-01,6.146892916498924650e-03,9.817633612314116166e-04,4.137252801113813216e-01,1.296208514820020898e-03,4.140397252649699600e-01
8.200000000000000000e+02,4.142335777158860921e-01,6.974999924355683965e-03,1.114026137000702181e-03,4.153476038528867709e-01,1.470833218608977224e-03,4.157044109344950611e-01
8.400000000000000000e+02,4.140522843831545563e-01,6.982972156807996759e-03,1.115299438135962341e-03,4.151675838212905423e-01,1.472514340393135191e-03,4.155247987235476947e-01
8.600000000000000000e+02,4.178460642888948695e-01,7.006693192508397713e-03,1.119088091046867598e-03,4.189651523799417521e-01,1.477516446151750209e-03,4.193235807350466082e-01
8.800000000000000000e+02,4.155899313363162206e-01,7.076403110022723777e-03,1.130221950682901372e-03,4.167201532869991287e-01,1.492216326217488771e-03,4.170821476625337088e-01
9.000000000000000000e+02,4.195217420528461472e-01,6.136313495114115515e-03,9.800736476737285929e-04,4.205018157005198653e-01,1.293977609504580462e-03,4.208157196623507068e-01
