x,y,std,con_95,con_95_plus,con_99,con_99_plus
0.000000000000000000e+00,1.129599575485501911e-01,5.746374868226830634e-02,9.177938158615830608e-03,1.221378957071660165e-01,1.211750413538328040e-02,1.250774616839334663e-01
2.000000000000000000e+01,3.514539667151190816e-01,1.865293343974522983e-02,2.979190768311031599e-03,3.544331574834301279e-01,3.933384146984609218e-03,3.553873508621037125e-01
4.000000000000000000e+01,3.937297931739262014e-01,1.073718870945088340e-02,1.714911683148450956e-03,3.954447048570746692e-01,2.264174050122654165e-03,3.959939672240488373e-01
6.000000000000000000e+01,4.081081614478841990e-01,7.458338966942220857e-03,1.191223603999103271e-03,4.092993850518832910e-01,1.572755960888090349e-03,4.096809174087722716e-01
8.000000000000000000e+01,4.189098305129385635e-01,8.391294161264996679e-03,1.340232418679793104e-03,4.202500629316183733e-01,1.769490227005016646e-03,4.206793207399435741e-01
1.000000000000000000e+02,4.260840723653892548e-01,7.386662835739707042e-03,1.179775706590549837e-03,4.272638480719798126e-01,1.557641461117859841e-03,4.276417138265071194e-01
1.200000000000000000e+02,4.327871859460681869e-01,7.168800560878774326e-03,1.144979395322642639e-03,4.339321653413908408e-01,1.511700375179170002e-03,4.342988863212473571e-01
1.400000000000000000e+02,4.383105198284248383e-01,6.823562943188280112e-03,1.089839075071156104e-03,4.394003589034959911e-01,1.438899377054498078e-03,4.397494192054793305e-01
1.600000000000000000e+02,4.453140866833847911e-01,7.332633914589794383e-03,1.171146368817401178e-03,4.464852330522021684e-01,1.546248266443347053e-03,4.468603349498281307e-01
1.800000000000000000e+02,4.429600325884757162e-01,5.881080691659483495e-03,9.393086272935042766e-04,4.438993412157692386e-01,1.240156119917331995e-03,4.442001887083930622e-01
2.000000000000000000e+02,4.541510293236026286e-01,5.052513771554175380e-03,8.069723957147270296e-04,4.549580017193173287e-01,1.065434433444483082e-03,4.552164637570471073e-01
2.200000000000000000e+02,4.537290601761310160e-01,5.703304460596118723e-03,9.109147391085720613e-04,4.546399749152396086e-01,1.202668064152047226e-03,4.549317282402830509e-01
2.400000000000000000e+02,4.557055873530251877e-01,5.568906741145272961e-03,8.894491371235857622e-04,4.565950364901487646e-01,1.174327328321594270e-03,4.568799146813467549e-01
2.600000000000000000e+02,4.588905971545677587e-01,5.616975512322984129e-03,8.971265375603209528e-04,4.597877236921280586e-01,1.184463693367135591e-03,4.600750608479348691e-01
2.800000000000000000e+02,4.580734033476222544e-01,5.145398075937512167e-03,8.218075991444568403e-04,4.588952109467667184e-01,1.085021146255382403e-03,4.591584244938776149e-01
3.000000000000000000e+02,4.625774089779172704e-01,4.732585951462313541e-03,7.558744806751200619e-04,4.633332834585923710e-01,9.979705667130817776e-04,4.635753795446303505e-01
3.200000000000000000e+02,4.624492055796957657e-01,5.229509026954634078e-03,8.352415488014118886e-04,4.632844471284972010e-01,1.102757803193941911e-03,4.635519633828897312e-01
3.400000000000000000e+02,4.685333299559432119e-01,5.201041214278213226e-03,8.306947548618117154e-04,4.693640247108050167e-01,1.096754734376778487e-03,4.696300846903199711e-01
3.600000000000000000e+02,4.698413136330517603e-01,4.597617374264525644e-03,7.343177029973021455e-04,4.705756313360490717e-01,9.695094528831437646e-04,4.708108230859349153e-01
